date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:47	34707/34707	---M--	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2018:55:42%20GMT	https://reactheme.com/products/html/waretech/index-3_onepage.html	F:/study_material/template/template-1/reactheme.com/products/html/waretech/index-3_onepage.html	(from https://reactheme.com/products/html/waretech/index.html)
16:39:47	22836/22836	---M--	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2019:27:52%20GMT	https://reactheme.com/products/html/waretech/team-details.html	F:/study_material/template/template-1/reactheme.com/products/html/waretech/team-details.html	(from https://reactheme.com/products/html/waretech/index.html)
16:39:48	35985/35985	---M--	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2018:34:58%20GMT	https://reactheme.com/products/html/waretech/index_onepage.html	F:/study_material/template/template-1/reactheme.com/products/html/waretech/index_onepage.html	(from https://reactheme.com/products/html/waretech/index.html)
16:39:49	27596/27596	---M--	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2019:27:52%20GMT	https://reactheme.com/products/html/waretech/price.html	F:/study_material/template/template-1/reactheme.com/products/html/waretech/price.html	(from https://reactheme.com/products/html/waretech/index.html)
16:39:51	129043/129043	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Jun%202022%2010:39:47%20GMT	https://reactheme.com/products/html/waretech/blog.html	F:/study_material/template/template-1/reactheme.com/products/html/waretech/blog.html	(from https://reactheme.com/products/html/waretech/index.html)
16:39:51	30784/30784	---M--	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2019:27:52%20GMT	https://reactheme.com/products/html/waretech/news.html	F:/study_material/template/template-1/reactheme.com/products/html/waretech/news.html	(from https://reactheme.com/products/html/waretech/index.html)
16:39:51	1334/1334	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Mar%202022%2010:45:11%20GMT	https://reactheme.com/products/html/waretech/img/icon/eclips-1.png	F:/study_material/template/template-1/reactheme.com/products/html/waretech/img/icon/eclips-1.png	(from https://reactheme.com/products/html/waretech/index.html)
16:39:54	129043/129043	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Jun%202022%2010:39:50%20GMT	https://reactheme.com/products/html/waretech/Price.html	F:/study_material/template/template-1/reactheme.com/products/html/waretech/Price-2.html	(from https://reactheme.com/products/html/waretech/index.html)
16:39:55	101837/101837	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Mar%202022%2010:45:11%20GMT	https://reactheme.com/products/html/waretech/img/slider/hero-man-1.png	F:/study_material/template/template-1/reactheme.com/products/html/waretech/img/slider/hero-man-1.png	(from https://reactheme.com/products/html/waretech/index.html)
16:39:56	28077/28077	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Mar%202022%2010:45:11%20GMT	https://reactheme.com/products/html/waretech/img/about/about-2.jpg	F:/study_material/template/template-1/reactheme.com/products/html/waretech/img/about/about-2.jpg	(from https://reactheme.com/products/html/waretech/index.html)
16:39:56	3039/3039	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Mar%202022%2010:45:11%20GMT	https://reactheme.com/products/html/waretech/img/icon/a-1.png	F:/study_material/template/template-1/reactheme.com/products/html/waretech/img/icon/a-1.png	(from https://reactheme.com/products/html/waretech/index.html)
16:39:57	3812/3812	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Mar%202022%2010:45:11%20GMT	https://reactheme.com/products/html/waretech/img/icon/a-1a.png	F:/study_material/template/template-1/reactheme.com/products/html/waretech/img/icon/a-1a.png	(from https://reactheme.com/products/html/waretech/index.html)
16:39:57	2896/2896	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Mar%202022%2010:45:11%20GMT	https://reactheme.com/products/html/waretech/img/icon/s-1.png	F:/study_material/template/template-1/reactheme.com/products/html/waretech/img/icon/s-1.png	(from https://reactheme.com/products/html/waretech/index.html)
